lng,lat,dest_lng,dest_lat,time_s
-87.6023885556,41.8240900087,-87.595610964,41.7294105994,3263
-87.6023885556,41.8240900087,-87.6717818648,41.8310103201,1929
-87.6023885556,41.8240900087,-87.6522001507,41.9469886855,2584
-87.6023885556,41.8240900087,-87.5705121861,41.72989349,3859
-87.6023885556,41.8240900087,-87.6230081049,41.7122781921,2615
-87.6023885556,41.8240900087,-87.6851079785,41.9468770735,3468
-87.6023885556,41.8240900087,-87.5980333532,41.7038819518,3659
-87.6023885556,41.8240900087,-87.5720604263,41.6915254757,-1
-87.6023885556,41.8240900087,-87.535020955,41.7078837283,4051
-87.6023885556,41.8240900087,-87.6369389639,41.6713896802,4081
-87.6023885556,41.8240900087,-87.5993467357,41.6653987328,-1
-87.6023885556,41.8240900087,-87.556809916,41.6681847188,-1
-87.6023885556,41.8240900087,-87.7696246581,41.8034030164,-1
-87.6023885556,41.8240900087,-87.7261730216,41.8108057493,3985
-87.6023885556,41.8240900087,-87.6991215254,41.81936451,2587
-87.6023885556,41.8240900087,-87.6494664458,41.836409452,1973
-87.6023885556,41.8240900087,-87.6599414275,41.8087268165,2007
-87.6023885556,41.8240900087,-87.7255904576,41.7959029727,3816
-87.6023885556,41.8240900087,-87.6962913388,41.7954730247,2824
-87.6023885556,41.8240900087,-87.7691960936,41.7784604941,4817
-87.6023885556,41.8240900087,-87.7272430628,41.7695687374,4182
-87.6023885556,41.8240900087,-87.695548386,41.7718490499,3212
-87.6023885556,41.8240900087,-87.666801359,41.7759025044,2548
-87.6023885556,41.8240900087,-87.6415606141,41.7753382456,2503
-87.6023885556,41.8240900087,-87.6159993134,41.7669573171,2233
-87.6023885556,41.8240900087,-87.6514869184,41.9218996159,2514
-87.6023885556,41.8240900087,-87.7071433238,41.7479965953,3893
-87.6023885556,41.8240900087,-87.6561609095,41.7433892887,3371
-87.6023885556,41.8240900087,-87.6762394297,41.7172935896,3834
-87.6023885556,41.8240900087,-87.6506245727,41.7159863761,3203
-87.6023885556,41.8240900087,-87.717747815,41.6968692635,5389
-87.6023885556,41.8240900087,-87.6690344105,41.6878025708,3660
-87.6023885556,41.8240900087,-87.8874544692,41.9731379747,-1
-87.6023885556,41.8240900087,-87.6611514222,41.9871697889,3603
-87.6023885556,41.8240900087,-87.8139807709,42.0071782564,5170
-87.6324675015,41.8090762537,-87.6163347894,41.8347038748,1094
-87.6324675015,41.8090762537,-87.6023885556,41.8240900087,1763
-87.6324675015,41.8090762537,-87.6178849991,41.8129289169,663
-87.6324675015,41.8090762537,-87.5933614086,41.8095969636,828
-87.6324675015,41.8090762537,-87.6904392161,41.9760184484,3529
-87.6324675015,41.8090762537,-87.6174427491,41.7911312433,1145
-87.6324675015,41.8090762537,-87.5907857873,41.7942340378,1289
-87.6324675015,41.8090762537,-87.591103864,41.7761334681,1934
-87.6324675015,41.8090762537,-87.6696044975,42.0104989522,3659
-87.6324675015,41.8090762537,-87.7703223329,41.9825042397,3616
-87.6324675015,41.8090762537,-87.7583068883,41.9917059089,4673
-87.6324675015,41.8090762537,-87.7261488733,41.9846051995,4009
-87.6324675015,41.8090762537,-87.7213693543,41.968521496,4225
-87.6324675015,41.8090762537,-87.7645780585,41.9535688785,3849
-87.6324675015,41.8090762537,-87.7210876711,41.9535127833,3872
