from,to,time
ANDERSONVILLE,ANDERSONVILLE,1785.565217
ANDERSONVILLE,BUCKTOWN,1955
ANDERSONVILLE,EDGEWATER,280.9238477
ANDERSONVILLE,HYDE PARK,6044
ANDERSONVILLE,IRVING PARK,1965
ANDERSONVILLE,LAKE VIEW,1225.180851
ANDERSONVILLE,LINCOLN PARK,2783.933333
ANDERSONVILLE,LINCOLN SQUARE,437.4219653
ANDERSONVILLE,LOGAN SQUARE,2838
ANDERSONVILLE,LOOP,2572.5
ANDERSONVILLE,NORTH CENTER,1032
ANDERSONVILLE,NORTH PARK,1310
ANDERSONVILLE,OLD TOWN,1665.666667
ANDERSONVILLE,RIVER NORTH,2195
ANDERSONVILLE,ROGERS PARK,916.2
ANDERSONVILLE,RUSH & DIVISION,3534
ANDERSONVILLE,SHEFFIELD & DEPAUL,1605.5
ANDERSONVILLE,UPTOWN,629.3623188
ANDERSONVILLE,WEST RIDGE,1081.714286
ANDERSONVILLE,WICKER PARK,2155.25
ANDERSONVILLE,WRIGLEYVILLE,794.6666667
ARMOUR SQUARE,ARMOUR SQUARE,462.3328
ARMOUR SQUARE,BACK OF THE YARDS,739.4166667
ARMOUR SQUARE,BRIDGEPORT,496.9010101
ARMOUR SQUARE,BRIGHTON PARK,1127.095238
ARMOUR SQUARE,BRONZEVILLE,530.7067669
ARMOUR SQUARE,GARFIELD PARK,3601.5
ARMOUR SQUARE,GOLD COAST,4083
ARMOUR SQUARE,GRANT PARK,2296.666667
ARMOUR SQUARE,HYDE PARK,2832
ARMOUR SQUARE,KENWOOD,1624
ARMOUR SQUARE,LAKE VIEW,3341.416667
ARMOUR SQUARE,LINCOLN PARK,1765
ARMOUR SQUARE,LITTLE ITALY,1113.327273
ARMOUR SQUARE,LITTLE VILLAGE,2120.333333
ARMOUR SQUARE,LOOP,1552.732759
ARMOUR SQUARE,LOWER WEST SIDE,846.1566265
ARMOUR SQUARE,MILLENIUM PARK,1855.625
ARMOUR SQUARE,MUSEUM CAMPUS,2056.555556
ARMOUR SQUARE,NEAR SOUTH SIDE,723.1859504
ARMOUR SQUARE,PRINTERS ROW,1237.518519
ARMOUR SQUARE,RIVER NORTH,1493.605263
ARMOUR SQUARE,RUSH & DIVISION,1583.911765
ARMOUR SQUARE,STREETERVILLE,2013.727273
ARMOUR SQUARE,UKRAINIAN VILLAGE AND EAST VILLAGE,4009
ARMOUR SQUARE,WEST LOOP,1214.77193
ARMOUR SQUARE,WICKER PARK,2300.571429
AUSTIN,AUSTIN,1909.15
AUSTIN,BELMONT CRAIGIN,1875.5
AUSTIN,BUCKTOWN,2432.076923
AUSTIN,GARFIELD PARK,1727.25
AUSTIN,HUMBOLDT PARK,1389
AUSTIN,LITTLE VILLAGE,1384
AUSTIN,LOGAN SQUARE,1579.066667
AUSTIN,LOOP,2698.6
AUSTIN,WICKER PARK,2289.75
AVALON PARK,AVALON PARK,1471
AVALON PARK,CHATHAM,463.5454545
AVALON PARK,SOUTH SHORE,565.6
BACK OF THE YARDS,ARMOUR SQUARE,942.8888889
BACK OF THE YARDS,BACK OF THE YARDS,648.421875
BACK OF THE YARDS,BRIDGEPORT,840.358209
BACK OF THE YARDS,BRIGHTON PARK,621.3333333
BACK OF THE YARDS,BRONZEVILLE,642.75
BACK OF THE YARDS,ENGLEWOOD,1320.5
BACK OF THE YARDS,GRANT PARK,4874.5
BACK OF THE YARDS,HYDE PARK,1550.444444
BACK OF THE YARDS,KENWOOD,511
BACK OF THE YARDS,LITTLE ITALY,2032.75
BACK OF THE YARDS,LOOP,2104.5
BACK OF THE YARDS,LOWER WEST SIDE,1693.333333
BACK OF THE YARDS,NEAR SOUTH SIDE,1303.8
BACK OF THE YARDS,SOUTH SHORE,2148.5
BACK OF THE YARDS,WEST LOOP,2177.333333
BACK OF THE YARDS,WICKER PARK,2179.5
BACK OF THE YARDS,WOODLAWN,1438
BELMONT CRAIGIN,AUSTIN,1562
BELMONT CRAIGIN,BELMONT CRAIGIN,880.3333333
BELMONT CRAIGIN,BUCKTOWN,1147.058824
BELMONT CRAIGIN,HUMBOLDT PARK,1095.4
BELMONT CRAIGIN,LAKE VIEW,1670.75
BELMONT CRAIGIN,LINCOLN PARK,1449
BELMONT CRAIGIN,LOGAN SQUARE,608.8611111
BELMONT CRAIGIN,LOOP,3948.5
BELMONT CRAIGIN,NORTH CENTER,1604
BELMONT CRAIGIN,OLD TOWN,2194.272727
BELMONT CRAIGIN,RIVER NORTH,1929.75
BELMONT CRAIGIN,SHEFFIELD & DEPAUL,1671
BELMONT CRAIGIN,UKRAINIAN VILLAGE AND EAST VILLAGE,1499
BELMONT CRAIGIN,UNITED CENTER,1428
BELMONT CRAIGIN,WICKER PARK,1576.111111
BRIDGEPORT,ARMOUR SQUARE,481.0863558
BRIDGEPORT,BACK OF THE YARDS,852.5666667
BRIDGEPORT,BRIDGEPORT,538.1633523
BRIDGEPORT,BRIGHTON PARK,740.4117647
BRIDGEPORT,BRONZEVILLE,480.7432188
BRIDGEPORT,ENGLEWOOD,1536.333333
BRIDGEPORT,GARFIELD PARK,2094.5
BRIDGEPORT,GOLD COAST,2506
BRIDGEPORT,GRANT PARK,1232.421053
BRIDGEPORT,HYDE PARK,2254.2
BRIDGEPORT,IRVING PARK,2710
BRIDGEPORT,JACKSON PARK,2245
BRIDGEPORT,KENWOOD,1560
BRIDGEPORT,LITTLE ITALY,1171.83908
BRIDGEPORT,LITTLE VILLAGE,1374.6
BRIDGEPORT,LOGAN SQUARE,2988
BRIDGEPORT,LOOP,1611.086538
BRIDGEPORT,LOWER WEST SIDE,830.0943396
BRIDGEPORT,MILLENIUM PARK,4634.96
BRIDGEPORT,MUSEUM CAMPUS,1743.75
BRIDGEPORT,NEAR SOUTH SIDE,731.0714286
BRIDGEPORT,NORTH CENTER,3336
BRIDGEPORT,OLD TOWN,2393.5
BRIDGEPORT,PRINTERS ROW,1140.666667
BRIDGEPORT,RIVER NORTH,1696.69697
BRIDGEPORT,RUSH & DIVISION,2114
BRIDGEPORT,STREETERVILLE,994.75
BRIDGEPORT,UNITED CENTER,845
BRIDGEPORT,WASHINGTON PARK,1043
BRIDGEPORT,WEST LOOP,1412.036697
BRIDGEPORT,WICKER PARK,2194.25
BRIDGEPORT,WOODLAWN,2734.25
BRIDGEPORT,WRIGLEYVILLE,2700
BRIGHTON PARK,ARMOUR SQUARE,881.6666667
BRIGHTON PARK,BACK OF THE YARDS,679.862069
BRIGHTON PARK,BRIDGEPORT,734.1355932
BRIGHTON PARK,BRIGHTON PARK,604.6621622
BRIGHTON PARK,BRONZEVILLE,1154.1
BRIGHTON PARK,GOLD COAST,3436
BRIGHTON PARK,LITTLE ITALY,1473.875
BRIGHTON PARK,LITTLE VILLAGE,1130.833333
BRIGHTON PARK,LOWER WEST SIDE,945.3076923
BRIGHTON PARK,NEAR SOUTH SIDE,1883
BRIGHTON PARK,OLD TOWN,2781
BRIGHTON PARK,RIVER NORTH,2622
BRIGHTON PARK,STREETERVILLE,3925.5
BRIGHTON PARK,WEST LOOP,1743.470588
BRIGHTON PARK,WICKER PARK,2049.8
BRONZEVILLE,ARMOUR SQUARE,573.596875
BRONZEVILLE,BACK OF THE YARDS,1215.666667
BRONZEVILLE,BRIDGEPORT,532.4371643
BRONZEVILLE,BRIGHTON PARK,1254.285714
BRONZEVILLE,BRONZEVILLE,622.9950068
BRONZEVILLE,ENGLEWOOD,2198.75
BRONZEVILLE,GOLD COAST,2345.5
BRONZEVILLE,GRANT PARK,2281.521739
BRONZEVILLE,HYDE PARK,1021.07772
BRONZEVILLE,JACKSON PARK,1790.851852
BRONZEVILLE,KENWOOD,724.5555556
BRONZEVILLE,LINCOLN PARK,5724.666667
BRONZEVILLE,LITTLE ITALY,1501.636364
BRONZEVILLE,LOOP,1771.221675
BRONZEVILLE,LOWER WEST SIDE,1365.941176
BRONZEVILLE,MILLENIUM PARK,1913.68
BRONZEVILLE,MUSEUM CAMPUS,2069.089286
BRONZEVILLE,NEAR SOUTH SIDE,903.6202532
BRONZEVILLE,OLD TOWN,6283.333333
BRONZEVILLE,PRINTERS ROW,1877.25
BRONZEVILLE,RIVER NORTH,1717.463415
BRONZEVILLE,RUSH & DIVISION,1821.5
BRONZEVILLE,SHEFFIELD & DEPAUL,5714
BRONZEVILLE,SOUTH SHORE,2637.777778
BRONZEVILLE,STREETERVILLE,1627.909091
BRONZEVILLE,UNITED CENTER,2402
BRONZEVILLE,WASHINGTON PARK,843.7777778
BRONZEVILLE,WEST LOOP,1477.107527
BRONZEVILLE,WICKER PARK,2332
BRONZEVILLE,WOODLAWN,1151.095238
BUCKTOWN,ARMOUR SQUARE,3833
BUCKTOWN,AUSTIN,3017.666667
BUCKTOWN,BELMONT CRAIGIN,1601.142857
BUCKTOWN,BUCKTOWN,650.2976295
BUCKTOWN,EDGEWATER,3297.333333
BUCKTOWN,GARFIELD PARK,1453.2
BUCKTOWN,GOLD COAST,2078.933333
BUCKTOWN,GRANT PARK,2147.4
BUCKTOWN,HUMBOLDT PARK,722.0058651
BUCKTOWN,IRVING PARK,933.2666667
BUCKTOWN,LAKE VIEW,1150.413681
BUCKTOWN,LINCOLN PARK,699.046892
BUCKTOWN,LINCOLN SQUARE,677.8958333
BUCKTOWN,LITTLE ITALY,1320.837838
BUCKTOWN,LITTLE VILLAGE,2097
BUCKTOWN,LOGAN SQUARE,734.5560166
BUCKTOWN,LOOP,1642.017722
BUCKTOWN,LOWER WEST SIDE,1817.12
BUCKTOWN,MILLENIUM PARK,2908
BUCKTOWN,MUSEUM CAMPUS,2467.5
BUCKTOWN,NEAR SOUTH SIDE,2710.333333
BUCKTOWN,NORTH CENTER,1001.546512
BUCKTOWN,NORTH PARK,1952
BUCKTOWN,OLD TOWN,989.1666667
BUCKTOWN,PORTAGE PARK,1598
BUCKTOWN,PRINTERS ROW,1780
BUCKTOWN,RIVER NORTH,949.9071146
BUCKTOWN,ROGERS PARK,386.2952381
BUCKTOWN,RUSH & DIVISION,1502.470588
BUCKTOWN,SHEFFIELD & DEPAUL,725.0323625
BUCKTOWN,STREETERVILLE,2231.5
BUCKTOWN,UKRAINIAN VILLAGE AND EAST VILLAGE,751.0153846
BUCKTOWN,UNITED CENTER,1121.571429
BUCKTOWN,UPTOWN,2026.076923
BUCKTOWN,WEST LOOP,1278.411371
BUCKTOWN,WICKER PARK,577.4165126
BUCKTOWN,WRIGLEYVILLE,2079.764706
CHATHAM,AVALON PARK,440.5416667
CHATHAM,CHATHAM,1143.333333
CHATHAM,ENGLEWOOD,2572
CHATHAM,HYDE PARK,1481
CHATHAM,JACKSON PARK,998
CHATHAM,KENWOOD,2802
CHATHAM,SOUTH CHICAGO,1383.666667
CHATHAM,SOUTH SHORE,693
CHATHAM,WOODLAWN,2806
EDGEWATER,ANDERSONVILLE,326.1983806
EDGEWATER,BUCKTOWN,2186.666667
EDGEWATER,EDGEWATER,654.8773234
EDGEWATER,GOLD COAST,2849.166667
EDGEWATER,GRANT PARK,3258.5
EDGEWATER,HYDE PARK,7372
EDGEWATER,IRVING PARK,2108.5
EDGEWATER,LAKE VIEW,1547.310345
EDGEWATER,LINCOLN PARK,2175.243902
EDGEWATER,LINCOLN SQUARE,867.223301
EDGEWATER,LOGAN SQUARE,2947
EDGEWATER,LOOP,3448
EDGEWATER,MILLENIUM PARK,2911
EDGEWATER,MUSEUM CAMPUS,6507.5
EDGEWATER,NORTH CENTER,1294.553191
EDGEWATER,NORTH PARK,817.3030303
EDGEWATER,OLD TOWN,1877.666667
EDGEWATER,PORTAGE PARK,2306
EDGEWATER,RIVER NORTH,2508
EDGEWATER,ROGERS PARK,757.7875458
EDGEWATER,RUSH & DIVISION,3145.5
EDGEWATER,SHEFFIELD & DEPAUL,1782.266667
EDGEWATER,UKRAINIAN VILLAGE AND EAST VILLAGE,3882
EDGEWATER,UNITED CENTER,2112.4
EDGEWATER,UPTOWN,835.1359517
EDGEWATER,WEST LOOP,4588
EDGEWATER,WEST RIDGE,1190.181818
EDGEWATER,WICKER PARK,4436.166667
EDGEWATER,WRIGLEYVILLE,1317.125
ENGLEWOOD,BACK OF THE YARDS,676.8
ENGLEWOOD,BRIDGEPORT,1318
ENGLEWOOD,BRONZEVILLE,4178
ENGLEWOOD,ENGLEWOOD,1153.307692
ENGLEWOOD,HYDE PARK,971
ENGLEWOOD,JACKSON PARK,2632.5
ENGLEWOOD,LITTLE ITALY,2250.5
ENGLEWOOD,LOOP,4136
ENGLEWOOD,LOWER WEST SIDE,1640
ENGLEWOOD,SOUTH SHORE,972.9714286
ENGLEWOOD,WASHINGTON PARK,626.3333333
ENGLEWOOD,WEST LOOP,2167
ENGLEWOOD,WOODLAWN,768.3103448
GARFIELD PARK,AUSTIN,2542.4375
GARFIELD PARK,BACK OF THE YARDS,2595
GARFIELD PARK,BRIDGEPORT,2717.666667
GARFIELD PARK,BUCKTOWN,1466.416667
GARFIELD PARK,GARFIELD PARK,1197.846847
GARFIELD PARK,HUMBOLDT PARK,1103.545455
GARFIELD PARK,IRVING PARK,871.52
GARFIELD PARK,LAKE VIEW,1767
GARFIELD PARK,LINCOLN PARK,2498
GARFIELD PARK,LINCOLN SQUARE,2278.5
GARFIELD PARK,LITTLE ITALY,1023
GARFIELD PARK,LOGAN SQUARE,1576.777778
GARFIELD PARK,LOOP,1655.809524
GARFIELD PARK,LOWER WEST SIDE,2498.428571
GARFIELD PARK,NORTH LAWNDALE,1204.833333
GARFIELD PARK,RIVER NORTH,1440.777778
GARFIELD PARK,UKRAINIAN VILLAGE AND EAST VILLAGE,1037.461538
GARFIELD PARK,UNITED CENTER,719.7083333
GARFIELD PARK,WEST LOOP,1607.823529
GARFIELD PARK,WICKER PARK,1211.425
GOLD COAST,ANDERSONVILLE,2151
GOLD COAST,ARMOUR SQUARE,4148
GOLD COAST,BACK OF THE YARDS,3245
GOLD COAST,BUCKTOWN,1610.583333
GOLD COAST,EDGEWATER,3280.3
GOLD COAST,GOLD COAST,2225.494226
GOLD COAST,GRANT PARK,2806.055556
GOLD COAST,HUMBOLDT PARK,2080.5
GOLD COAST,HYDE PARK,4757.5
GOLD COAST,IRVING PARK,2055
GOLD COAST,JACKSON PARK,5106.428571
GOLD COAST,LAKE VIEW,1386.274131
GOLD COAST,LINCOLN PARK,1069.748072
GOLD COAST,LINCOLN SQUARE,2689.285714
GOLD COAST,LITTLE ITALY,1872.75
GOLD COAST,LOGAN SQUARE,1614.5
GOLD COAST,LOOP,1165.608566
GOLD COAST,LOWER WEST SIDE,2244.2
GOLD COAST,MILLENIUM PARK,2254.09434
GOLD COAST,MUSEUM CAMPUS,2242.931818
GOLD COAST,NEAR SOUTH SIDE,1584.117647
GOLD COAST,NORTH CENTER,1905.111111
GOLD COAST,OLD TOWN,639.6252427
GOLD COAST,PRINTERS ROW,1386.5
GOLD COAST,RIVER NORTH,695.9460784
GOLD COAST,ROGERS PARK,3471.875
GOLD COAST,RUSH & DIVISION,572.1087963
GOLD COAST,SHEFFIELD & DEPAUL,1206.741176
GOLD COAST,STREETERVILLE,3131.6
GOLD COAST,UKRAINIAN VILLAGE AND EAST VILLAGE,1460.142857
GOLD COAST,UPTOWN,2210.931507
GOLD COAST,WEST LOOP,1011.545775
GOLD COAST,WICKER PARK,1039.35
GOLD COAST,WRIGLEYVILLE,1897
GRANT PARK,ARMOUR SQUARE,2406.8
GRANT PARK,BRIDGEPORT,1146.272727
GRANT PARK,BRONZEVILLE,1804.478261
GRANT PARK,BUCKTOWN,3269.555556
GRANT PARK,EDGEWATER,3966.333333
GRANT PARK,GOLD COAST,2607.436364
GRANT PARK,GRANT PARK,1307.683686
GRANT PARK,HYDE PARK,3654.388889
GRANT PARK,IRVING PARK,2711
GRANT PARK,JACKSON PARK,5972.4
GRANT PARK,KENWOOD,2624.333333
GRANT PARK,LAKE VIEW,2312.328358
GRANT PARK,LINCOLN PARK,2422.83908
GRANT PARK,LITTLE ITALY,1575.194444
GRANT PARK,LITTLE VILLAGE,2448.75
GRANT PARK,LOGAN SQUARE,2155.5
GRANT PARK,LOOP,881.9546742
GRANT PARK,LOWER WEST SIDE,1367.204545
GRANT PARK,MILLENIUM PARK,1118.695652
GRANT PARK,MUSEUM CAMPUS,1085.242038
GRANT PARK,NEAR SOUTH SIDE,991.6887417
GRANT PARK,NORTH CENTER,4426
GRANT PARK,OLD TOWN,2745.925926
GRANT PARK,PRINTERS ROW,586.4852941
GRANT PARK,RIVER NORTH,1167.12381
GRANT PARK,ROGERS PARK,6713.4
GRANT PARK,RUSH & DIVISION,1647.111111
GRANT PARK,SHEFFIELD & DEPAUL,2161.444444
GRANT PARK,SOUTH SHORE,3679
GRANT PARK,STREETERVILLE,644.8505747
GRANT PARK,UKRAINIAN VILLAGE AND EAST VILLAGE,1547.5
GRANT PARK,UNITED CENTER,1433.25
GRANT PARK,UPTOWN,3646.294118
GRANT PARK,WEST LOOP,759.9420849
GRANT PARK,WICKER PARK,2214.486486
GRANT PARK,WRIGLEYVILLE,2382
HUMBOLDT PARK,ANDERSONVILLE,2105
HUMBOLDT PARK,AUSTIN,2229
HUMBOLDT PARK,BELMONT CRAIGIN,800
HUMBOLDT PARK,BUCKTOWN,671.5988539
HUMBOLDT PARK,GARFIELD PARK,686.375
HUMBOLDT PARK,GRANT PARK,2179
HUMBOLDT PARK,HUMBOLDT PARK,1232.480519
HUMBOLDT PARK,IRVING PARK,766.1724138
HUMBOLDT PARK,LAKE VIEW,2104.647059
HUMBOLDT PARK,LINCOLN PARK,1285.101266
HUMBOLDT PARK,LINCOLN SQUARE,836.3333333
HUMBOLDT PARK,LITTLE ITALY,1365.75
HUMBOLDT PARK,LOGAN SQUARE,704.072973
HUMBOLDT PARK,LOOP,1702.405063
HUMBOLDT PARK,LOWER WEST SIDE,1841.5
HUMBOLDT PARK,MILLENIUM PARK,1724
HUMBOLDT PARK,MUSEUM CAMPUS,2420.219512
HUMBOLDT PARK,NEAR SOUTH SIDE,3070.5
HUMBOLDT PARK,NORTH CENTER,1063.625
HUMBOLDT PARK,NORTH PARK,1751
HUMBOLDT PARK,OLD TOWN,2338
HUMBOLDT PARK,PRINTERS ROW,1910
HUMBOLDT PARK,RIVER NORTH,1707.432432
HUMBOLDT PARK,ROGERS PARK,1342.7
HUMBOLDT PARK,RUSH & DIVISION,1392.333333
HUMBOLDT PARK,SHEFFIELD & DEPAUL,1557
HUMBOLDT PARK,UKRAINIAN VILLAGE AND EAST VILLAGE,721.848
HUMBOLDT PARK,UNITED CENTER,1585.285714
HUMBOLDT PARK,WEST LOOP,1452.901639
HUMBOLDT PARK,WICKER PARK,721.1710758
HUMBOLDT PARK,WRIGLEYVILLE,1955.5
HYDE PARK,ARMOUR SQUARE,2363.285714
HYDE PARK,BACK OF THE YARDS,1794
HYDE PARK,BRIDGEPORT,2041.833333
HYDE PARK,BRONZEVILLE,1175.324022
HYDE PARK,CHATHAM,1044.5
HYDE PARK,EDGEWATER,6422
HYDE PARK,ENGLEWOOD,1098.101695
HYDE PARK,GOLD COAST,5625
HYDE PARK,GRANT PARK,3861.371429
HYDE PARK,HYDE PARK,496.5646967
HYDE PARK,JACKSON PARK,913.3783784
HYDE PARK,KENWOOD,583.5620767
HYDE PARK,LAKE VIEW,4409.5
HYDE PARK,LINCOLN PARK,5401.666667
HYDE PARK,LITTLE ITALY,5113
HYDE PARK,LOOP,3211.298969
HYDE PARK,LOWER WEST SIDE,2550.904762
HYDE PARK,MILLENIUM PARK,4116.875
HYDE PARK,MUSEUM CAMPUS,3474.764706
HYDE PARK,NEAR SOUTH SIDE,2770.511905
HYDE PARK,OLD TOWN,5328.666667
HYDE PARK,PRINTERS ROW,2538.666667
HYDE PARK,RIVER NORTH,5435.285714
HYDE PARK,ROGERS PARK,6525
HYDE PARK,RUSH & DIVISION,6285
HYDE PARK,SOUTH CHICAGO,1795.666667
HYDE PARK,SOUTH SHORE,1936.7
HYDE PARK,STREETERVILLE,2378.5
HYDE PARK,WASHINGTON PARK,629.7581699
HYDE PARK,WEST LOOP,4356.9375
HYDE PARK,WICKER PARK,4848
HYDE PARK,WOODLAWN,416.3927722
IRVING PARK,BELMONT CRAIGIN,998
IRVING PARK,BRIDGEPORT,3393
IRVING PARK,BUCKTOWN,1136.170213
IRVING PARK,EDGEWATER,2006.428571
IRVING PARK,GARFIELD PARK,877.9565217
IRVING PARK,GOLD COAST,2737.625
IRVING PARK,HUMBOLDT PARK,575.05
IRVING PARK,IRVING PARK,857.0422078
IRVING PARK,LAKE VIEW,1408.476821
IRVING PARK,LINCOLN PARK,1585.238095
IRVING PARK,LINCOLN SQUARE,1167.909091
IRVING PARK,LOGAN SQUARE,535.2481061
IRVING PARK,LOOP,2128.310345
IRVING PARK,LOWER WEST SIDE,1700
IRVING PARK,NEAR SOUTH SIDE,2738
IRVING PARK,NORTH CENTER,751.3428571
IRVING PARK,NORTH PARK,767.9166667
IRVING PARK,OLD TOWN,1820.833333
IRVING PARK,PORTAGE PARK,981.0909091
IRVING PARK,PRINTERS ROW,3499
IRVING PARK,RIVER NORTH,2294.405405
IRVING PARK,ROGERS PARK,1413.25
IRVING PARK,RUSH & DIVISION,2151.5
IRVING PARK,SHEFFIELD & DEPAUL,1537.510638
IRVING PARK,STREETERVILLE,4315
IRVING PARK,UKRAINIAN VILLAGE AND EAST VILLAGE,898.4666667
IRVING PARK,UNITED CENTER,1801
IRVING PARK,UPTOWN,1872.25
IRVING PARK,WEST LOOP,2318.730769
IRVING PARK,WEST RIDGE,2277
IRVING PARK,WICKER PARK,1147.97076
IRVING PARK,WRIGLEYVILLE,1139.26087
JACKSON PARK,ARMOUR SQUARE,3166
JACKSON PARK,BRONZEVILLE,2229.342857
JACKSON PARK,CHATHAM,3379
JACKSON PARK,ENGLEWOOD,1929
JACKSON PARK,GOLD COAST,5990
JACKSON PARK,GRANT PARK,3900.3125
JACKSON PARK,HYDE PARK,1089.859873
JACKSON PARK,JACKSON PARK,1261.10119
JACKSON PARK,KENWOOD,1586.142857
JACKSON PARK,LOOP,4122.846154
JACKSON PARK,MILLENIUM PARK,3862.8
JACKSON PARK,MUSEUM CAMPUS,3757.3125
JACKSON PARK,NEAR SOUTH SIDE,2461
JACKSON PARK,RIVER NORTH,5214
JACKSON PARK,RUSH & DIVISION,3988
JACKSON PARK,SOUTH CHICAGO,1238.666667
JACKSON PARK,SOUTH SHORE,879.6666667
JACKSON PARK,STREETERVILLE,4480
JACKSON PARK,WASHINGTON PARK,1819.5
JACKSON PARK,WEST LOOP,4294
JACKSON PARK,WICKER PARK,5847
JACKSON PARK,WOODLAWN,1476.333333
KENWOOD,ARMOUR SQUARE,4531.714286
KENWOOD,BACK OF THE YARDS,1507
KENWOOD,BRIDGEPORT,1190
KENWOOD,BRIGHTON PARK,2637
KENWOOD,BRONZEVILLE,824.5784314
KENWOOD,GOLD COAST,2397
KENWOOD,GRANT PARK,2715.833333
KENWOOD,HYDE PARK,619.6659619
KENWOOD,JACKSON PARK,1311.357143
KENWOOD,KENWOOD,874.9882813
KENWOOD,LAKE VIEW,5503.4
KENWOOD,LOOP,2330.957143
KENWOOD,MUSEUM CAMPUS,2290.090909
KENWOOD,NEAR SOUTH SIDE,2107.6875
KENWOOD,PRINTERS ROW,2615.666667
KENWOOD,RIVER NORTH,2608
KENWOOD,SOUTH SHORE,1861.5
KENWOOD,WASHINGTON PARK,1617.333333
KENWOOD,WEST LOOP,2357.5
KENWOOD,WOODLAWN,810.2647059
LAKE VIEW,ANDERSONVILLE,984.5952381
LAKE VIEW,ARMOUR SQUARE,8899.8
LAKE VIEW,AUSTIN,5748.5
LAKE VIEW,BELMONT CRAIGIN,1741.333333
LAKE VIEW,BRIDGEPORT,8121
LAKE VIEW,BRONZEVILLE,2211
LAKE VIEW,BUCKTOWN,1184.13
LAKE VIEW,EDGEWATER,1360.716418
LAKE VIEW,GARFIELD PARK,2730.8
LAKE VIEW,GOLD COAST,1450.15
LAKE VIEW,GRANT PARK,3201.62963
LAKE VIEW,HUMBOLDT PARK,2018.166667
LAKE VIEW,HYDE PARK,6205.666667
LAKE VIEW,IRVING PARK,1255.415205
LAKE VIEW,JACKSON PARK,6121.5
LAKE VIEW,LAKE VIEW,498.5215859
LAKE VIEW,LINCOLN PARK,787.1382488
LAKE VIEW,LINCOLN SQUARE,706.0695652
LAKE VIEW,LITTLE ITALY,2445.666667
LAKE VIEW,LOGAN SQUARE,1634.150442
LAKE VIEW,LOOP,1966.040627
LAKE VIEW,LOWER WEST SIDE,2513.2
LAKE VIEW,MILLENIUM PARK,2203.747573
LAKE VIEW,MUSEUM CAMPUS,2669.604651
LAKE VIEW,NEAR SOUTH SIDE,3520.677419
LAKE VIEW,NORTH CENTER,532.1242331
LAKE VIEW,NORTH PARK,1356.0625
LAKE VIEW,OLD TOWN,1113.991803
LAKE VIEW,PORTAGE PARK,1688
LAKE VIEW,PRINTERS ROW,2295
LAKE VIEW,RIVER NORTH,1386.95377
LAKE VIEW,ROGERS PARK,1810.953704
LAKE VIEW,RUSH & DIVISION,1310.905923
LAKE VIEW,SHEFFIELD & DEPAUL,547.7817503
LAKE VIEW,STREETERVILLE,2581.8
LAKE VIEW,UKRAINIAN VILLAGE AND EAST VILLAGE,1559.536585
LAKE VIEW,UNITED CENTER,1884
LAKE VIEW,UPTOWN,577.1717834
LAKE VIEW,WEST LOOP,1941.465011
LAKE VIEW,WEST RIDGE,1987.714286
LAKE VIEW,WICKER PARK,1534.429142
LAKE VIEW,WRIGLEYVILLE,393.7260184
LINCOLN PARK,ANDERSONVILLE,1935.333333
LINCOLN PARK,ARMOUR SQUARE,7798.333333
LINCOLN PARK,BELMONT CRAIGIN,1308
LINCOLN PARK,BRIDGEPORT,2527
LINCOLN PARK,BRONZEVILLE,4023.428571
LINCOLN PARK,BUCKTOWN,712.2031063
LINCOLN PARK,EDGEWATER,1970.333333
LINCOLN PARK,GARFIELD PARK,2028
LINCOLN PARK,GOLD COAST,975.1107739
LINCOLN PARK,GRANT PARK,2759.659794
LINCOLN PARK,HUMBOLDT PARK,1313.828947
LINCOLN PARK,HYDE PARK,9117.75
LINCOLN PARK,IRVING PARK,1386
LINCOLN PARK,KENWOOD,3658
LINCOLN PARK,LAKE VIEW,786.5899195
LINCOLN PARK,LINCOLN PARK,628.8850012
LINCOLN PARK,LINCOLN SQUARE,1298.986667
LINCOLN PARK,LITTLE ITALY,1864.113636
LINCOLN PARK,LOGAN SQUARE,1361.815686
LINCOLN PARK,LOOP,1562.455298
LINCOLN PARK,LOWER WEST SIDE,1796.25
LINCOLN PARK,MILLENIUM PARK,2165.064103
LINCOLN PARK,MUSEUM CAMPUS,3351.80597
LINCOLN PARK,NEAR SOUTH SIDE,3369.214286
LINCOLN PARK,NORTH CENTER,1007.767918
LINCOLN PARK,NORTH LAWNDALE,3212.2
LINCOLN PARK,NORTH PARK,2030
LINCOLN PARK,OLD TOWN,547.4648329
LINCOLN PARK,PRINTERS ROW,2142.785714
LINCOLN PARK,RIVER NORTH,862.5871705
LINCOLN PARK,ROGERS PARK,1028.512397
LINCOLN PARK,RUSH & DIVISION,890.7862233
LINCOLN PARK,SHEFFIELD & DEPAUL,373.8616128
LINCOLN PARK,STREETERVILLE,4355
LINCOLN PARK,UKRAINIAN VILLAGE AND EAST VILLAGE,1356.081633
LINCOLN PARK,UNITED CENTER,2241.9
LINCOLN PARK,UPTOWN,1460.753676
LINCOLN PARK,WEST LOOP,1335.413468
LINCOLN PARK,WEST RIDGE,2357.5
LINCOLN PARK,WICKER PARK,1100.64089
LINCOLN PARK,WRIGLEYVILLE,941.8317308
LINCOLN SQUARE,ANDERSONVILLE,496.4606742
LINCOLN SQUARE,AUSTIN,2651.730769
